"Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c","c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","c2g__Transaction__r.c2g__SalesInvoice__c"
"a3h1o000000cd3aAAA","2532.26","0.0","a2l24000000UA1SAAW","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","63202","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
"a3h1o000000cd3bAAA","0.0","2532.26","a2l24000000U9xcAAC","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","2722205","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
"a3h1o000000cd3cAAA","601.41","0.0","a2l24000000UA1fAAG","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","63512","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
"a3h1o000000cd3dAAA","0.0","601.41","a2l24000000U9xdAAC","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","2722206","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
"a3h1o000000cd3eAAA","2207.26","0.0","a2l24000000UA1RAAW","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","63201","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
"a3h1o000000cd3fAAA","0.0","2207.26","a2l24000000U9xcAAC","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","2722205","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
"a3h1o000000cd3gAAA","524.22","0.0","a2l24000000UA1fAAG","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","63512","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
"a3h1o000000cd3hAAA","0.0","524.22","a2l24000000U9xdAAC","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","2722206","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
"a3h1o000000cd3iAAA","1225.24","0.0","a2l24000000UA1TAAW","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","63203","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
"a3h1o000000cd3jAAA","0.0","1225.24","a2l24000000U9xYAAS","2018-01-25T18:38:25.000Z","ACRESC. VENC AGO","2722201","a3i1o000000c2UCAAY","2017-08-31","Célia Pedro","ACRESC. VENC AGO","JNL121169","","","008",""
