"Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c","c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","c2g__Transaction__r.c2g__SalesInvoice__c"
"a3h1o000000cdvQAAQ","60.63","0.0","a2l24000000UA1nAAG","2018-01-26T15:29:53.000Z","DEPREC SET","6422","a3i1o000000c2utAAA","2017-09-30","Célia Pedro","DEPREC SET","JNL121272","","","009",""
"a3h1o000000cdvRAAQ","0.0","60.63","a2l24000000U9z5AAC","2018-01-26T15:29:53.000Z","DEPREC SET","4382","a3i1o000000c2utAAA","2017-09-30","Célia Pedro","DEPREC SET","JNL121272","","","009",""
"a3h1o000000cdvSAAQ","656.4","0.0","a2l24000000UA1oAAG","2018-01-26T15:29:53.000Z","DEPREC SET","6423","a3i1o000000c2utAAA","2017-09-30","Célia Pedro","DEPREC SET","JNL121272","","","009",""
"a3h1o000000cdvTAAQ","0.0","656.4","a2l24000000U9z6AAC","2018-01-26T15:29:53.000Z","DEPREC SET","4383","a3i1o000000c2utAAA","2017-09-30","Célia Pedro","DEPREC SET","JNL121272","","","009",""
"a3h1o000000cdvUAAQ","1025.89","0.0","a2l24000000UA1tAAG","2018-01-26T15:29:53.000Z","DEPREC SET","6425","a3i1o000000c2utAAA","2017-09-30","Célia Pedro","DEPREC SET","JNL121272","","","009",""
"a3h1o000000cdvVAAQ","0.0","1025.89","a2l24000000U9z8AAC","2018-01-26T15:29:53.000Z","DEPREC SET","4385","a3i1o000000c2utAAA","2017-09-30","Célia Pedro","DEPREC SET","JNL121272","","","009",""
"a3h1o000000cduSAAQ","286.17","0.0","a2l24000000UA1oAAG","2018-01-26T15:18:02.000Z","DEPREC MAI","6423","a3i1o000000c2u5AAA","2017-05-31","Célia Pedro","DEPREC MAI","JNL121266","","","005",""
"a3h1o000000cduTAAQ","0.0","286.17","a2l24000000U9z6AAC","2018-01-26T15:18:02.000Z","DEPREC MAI","4383","a3i1o000000c2u5AAA","2017-05-31","Célia Pedro","DEPREC MAI","JNL121266","","","005",""
"a3h1o000000cduUAAQ","205.27","0.0","a2l24000000UA1tAAG","2018-01-26T15:18:02.000Z","DEPREC MAI","6425","a3i1o000000c2u5AAA","2017-05-31","Célia Pedro","DEPREC MAI","JNL121266","","","005",""
"a3h1o000000cduVAAQ","0.0","205.27","a2l24000000U9z8AAC","2018-01-26T15:18:02.000Z","DEPREC MAI","4385","a3i1o000000c2u5AAA","2017-05-31","Célia Pedro","DEPREC MAI","JNL121266","","","005",""
