"Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c","c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","c2g__Transaction__r.c2g__SalesInvoice__c"
"a3h24000000EUPTAA4","39951.24","0.0","a2l24000000U9wiAAC","2017-11-29T19:07:45.000Z","","2433313","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPUAA4","0.0","39951.24","a2l24000000U9x6AAC","2017-11-29T19:07:45.000Z","","2435","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPVAA4","1251.02","0.0","a2l24000000U9wlAAC","2017-11-29T19:07:45.000Z","","243334","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPWAA4","0.0","1251.02","a2l24000000U9x6AAC","2017-11-29T19:07:45.000Z","","2435","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPXAA4","0.0","14153.69","a2l24000000U9wSAAS","2017-11-29T19:07:45.000Z","","2432211","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPYAA4","14153.69","0.0","a2l24000000U9x6AAC","2017-11-29T19:07:45.000Z","","2435","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPZAA4","0.0","131619.99","a2l24000000U9wOAAS","2017-11-29T19:07:45.000Z","","2432113","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPaAAO","131619.99","0.0","a2l24000000U9x6AAC","2017-11-29T19:07:45.000Z","","2435","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPbAAO","0.0","0.0","a2l24000000U9wZAAS","2017-11-29T19:07:45.000Z","","243234","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPcAAO","0.0","0.0","a2l24000000U9x6AAC","2017-11-29T19:07:45.000Z","","2435","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPdAAO","0.0","5596.17","a2l24000000U9wWAAS","2017-11-29T19:07:45.000Z","","243231","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPeAAO","5596.17","0.0","a2l24000000U9x6AAC","2017-11-29T19:07:45.000Z","","2435","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPfAAO","789.14","0.0","a2l24000000U9wxAAC","2017-11-29T19:07:45.000Z","","24342111","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPgAAO","0.0","789.14","a2l24000000U9x6AAC","2017-11-29T19:07:45.000Z","","2435","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
"a3h24000000EUPhAAO","81.82","0.0","a2l24000000U9wjAAC","2017-11-29T19:07:45.000Z","","2433323","a3i24000000MLN3AAO","2017-08-31","Célia Pedro","Apuramento de IVA 2017/008","JNL094131","","","008",""
