"c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c"
"a3i1o000000MNy5AAG","2017-12-11","Tatiana Abreu","Invoice Number:PIN002607","PCR000088","0012400001HZmVVAA1","Service Provider","012","a3h1o000000EbUUAA0","44744.36","0.0","a2l24000000U9voAAC","2017-12-14T11:20:10.000Z","Invoice Number:PIN002607","22111"
"a3i1o000000MNy5AAG","2017-12-11","Tatiana Abreu","Invoice Number:PIN002607","PCR000088","0012400001HZmVVAA1","Service Provider","012","a3h1o000000EbUVAA0","0.0","36377.53","a2l24000000U9yyAAC","2017-12-14T11:20:10.000Z","","432"
"a3i1o000000MNy5AAG","2017-12-11","Tatiana Abreu","Invoice Number:PIN002607","PCR000088","0012400001HZmVVAA1","Service Provider","012","a3h1o000000EbUWAA0","0.0","8366.83","a2l24000000U9wSAAS","2017-12-14T11:20:10.000Z","IMOCONT23","2432211"
"a3i1o000000MNzwAAG","2017-11-28","Tatiana Abreu","Invoice Number:PIN003937","PCR000089","0012400000st2RuAAI","Channel Partner / Vendor","011","a3h1o000000EbaBAAS","4394.18","0.0","a2l24000000U9vrAAC","2017-12-14T13:35:49.000Z","Invoice Number:PIN003937","22114"
"a3i1o000000MNzwAAG","2017-11-28","Tatiana Abreu","Invoice Number:PIN003937","PCR000089","0012400000st2RuAAI","Channel Partner / Vendor","011","a3h1o000000EbaCAAS","0.0","3572.5","a2l24000000U9y3AAC","2017-12-14T13:35:49.000Z","","311"
"a3i1o000000MNzwAAG","2017-11-28","Tatiana Abreu","Invoice Number:PIN003937","PCR000089","0012400000st2RuAAI","Channel Partner / Vendor","011","a3h1o000000EbaDAAS","0.0","821.68","a2l24000000U9wOAAS","2017-12-14T13:35:49.000Z","CCONT23","2432113"
"a3i1o000000MUvZAAW","2017-12-28","Tatiana Abreu","Invoice Number:PIN004043","PCR000090","0012400000YF5NMAA1","Channel Partner / Vendor","012","a3h1o000000Es8wAAC","3075.0","0.0","a2l24000000U9vrAAC","2017-12-28T18:06:22.000Z","Invoice Number:PIN004043","22114"
"a3i1o000000MUvZAAW","2017-12-28","Tatiana Abreu","Invoice Number:PIN004043","PCR000090","0012400000YF5NMAA1","Channel Partner / Vendor","012","a3h1o000000Es8xAAC","0.0","2500.0","a2l24000000U9y3AAC","2017-12-28T18:06:22.000Z","","311"
"a3i1o000000MUvZAAW","2017-12-28","Tatiana Abreu","Invoice Number:PIN004043","PCR000090","0012400000YF5NMAA1","Channel Partner / Vendor","012","a3h1o000000Es8yAAC","0.0","575.0","a2l24000000U9wOAAS","2017-12-28T18:06:22.000Z","CCONT23","2432113"
"a3i1o000000MUvjAAG","2017-12-28","Tatiana Abreu","Invoice Number:PIN004044","PCR000091","0012400000YF5NMAA1","Channel Partner / Vendor","012","a3h1o000000Es96AAC","4305.0","0.0","a2l24000000U9vrAAC","2017-12-28T18:08:23.000Z","Invoice Number:PIN004044","22114"
"a3i1o000000MUvjAAG","2017-12-28","Tatiana Abreu","Invoice Number:PIN004044","PCR000091","0012400000YF5NMAA1","Channel Partner / Vendor","012","a3h1o000000Es97AAC","0.0","3500.0","a2l24000000U9y3AAC","2017-12-28T18:08:23.000Z","","311"
"a3i1o000000MUvjAAG","2017-12-28","Tatiana Abreu","Invoice Number:PIN004044","PCR000091","0012400000YF5NMAA1","Channel Partner / Vendor","012","a3h1o000000Es98AAC","0.0","805.0","a2l24000000U9wOAAS","2017-12-28T18:08:23.000Z","CCONT23","2432113"
"a3i1o000000MUvtAAG","2017-12-28","Tatiana Abreu","Invoice Number:PIN004045","PCR000092","0012400000YF5NMAA1","Channel Partner / Vendor","012","a3h1o000000Es9GAAS","4305.0","0.0","a2l24000000U9vrAAC","2017-12-28T18:11:32.000Z","Invoice Number:PIN004045","22114"
"a3i1o000000MUvtAAG","2017-12-28","Tatiana Abreu","Invoice Number:PIN004045","PCR000092","0012400000YF5NMAA1","Channel Partner / Vendor","012","a3h1o000000Es9HAAS","0.0","3500.0","a2l24000000U9y3AAC","2017-12-28T18:11:32.000Z","","311"
"a3i1o000000MUvtAAG","2017-12-28","Tatiana Abreu","Invoice Number:PIN004045","PCR000092","0012400000YF5NMAA1","Channel Partner / Vendor","012","a3h1o000000Es9IAAS","0.0","805.0","a2l24000000U9wOAAS","2017-12-28T18:11:32.000Z","CCONT23","2432113"
"a3i1o000000MV2TAAW","2017-12-29","Tatiana Abreu","Invoice Number:PIN004052","PCR000093","0012400000VClmEAAT","Channel Partner / Vendor","012","a3h1o000000EsNRAA0","3284.1","0.0","a2l24000000U9vrAAC","2017-12-29T12:13:25.000Z","Invoice Number:PIN004052","22114"
"a3i1o000000MV2TAAW","2017-12-29","Tatiana Abreu","Invoice Number:PIN004052","PCR000093","0012400000VClmEAAT","Channel Partner / Vendor","012","a3h1o000000EsNSAA0","0.0","2670.0","a2l24000000U9y3AAC","2017-12-29T12:13:25.000Z","","311"
"a3i1o000000MV2TAAW","2017-12-29","Tatiana Abreu","Invoice Number:PIN004052","PCR000093","0012400000VClmEAAT","Channel Partner / Vendor","012","a3h1o000000EsNTAA0","0.0","614.1","a2l24000000U9wOAAS","2017-12-29T12:13:25.000Z","CCONT23","2432113"
