"c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c"
"a3i1o000000MLk1AAG","2017-11-30","Célia Pedro","Portal Cliente Angular: Horas Setembro Help Center HTML: Horas Setembro","PIN003855","0012400000Wn20jAAB","Service Provider","011","a3h1o000000EVNoAAO","0.0","4477.2","a2l24000000U9voAAC","2017-12-04T09:55:22.000Z","Portal Cliente Angular: Horas Setembro
Help Center HTML: Horas Setembro","22111"
"a3i1o000000MLk1AAG","2017-11-30","Célia Pedro","Portal Cliente Angular: Horas Setembro Help Center HTML: Horas Setembro","PIN003855","0012400000Wn20jAAB","Service Provider","011","a3h1o000000EVNpAAO","3640.0","0.0","a2l24000000UA0CAAW","2017-12-04T09:55:22.000Z","","622102"
"a3i1o000000MLk1AAG","2017-11-30","Célia Pedro","Portal Cliente Angular: Horas Setembro Help Center HTML: Horas Setembro","PIN003855","0012400000Wn20jAAB","Service Provider","011","a3h1o000000EVNqAAO","837.2","0.0","a2l24000000U9wWAAS","2017-12-04T09:55:22.000Z","OBSCONT23","243231"
"a3i1o000000MLk6AAG","2017-11-30","Célia Pedro","Portal Cliente Angular: Horas Outubro Help Center HTML: Horas Outubro","PIN003856","0012400000Wn20jAAB","Service Provider","011","a3h1o000000EVNtAAO","0.0","1463.7","a2l24000000U9voAAC","2017-12-04T10:07:04.000Z","Portal Cliente Angular: Horas Outubro
Help Center HTML: Horas Outubro","22111"
"a3i1o000000MLk6AAG","2017-11-30","Célia Pedro","Portal Cliente Angular: Horas Outubro Help Center HTML: Horas Outubro","PIN003856","0012400000Wn20jAAB","Service Provider","011","a3h1o000000EVNuAAO","1190.0","0.0","a2l24000000UA0CAAW","2017-12-04T10:07:04.000Z","","622102"
"a3i1o000000MLk6AAG","2017-11-30","Célia Pedro","Portal Cliente Angular: Horas Outubro Help Center HTML: Horas Outubro","PIN003856","0012400000Wn20jAAB","Service Provider","011","a3h1o000000EVNvAAO","273.7","0.0","a2l24000000U9wWAAS","2017-12-04T10:07:04.000Z","OBSCONT23","243231"
"a3i1o000000MLkBAAW","2017-11-30","Célia Pedro","Portal Cliente Angular: Horas Novembro Portal Cliente HTML: Horas Novembro","PIN003857","0012400000Wn20jAAB","Service Provider","011","a3h1o000000EVNyAAO","0.0","2927.4","a2l24000000U9voAAC","2017-12-04T10:09:35.000Z","Portal Cliente Angular: Horas Novembro
Portal Cliente HTML: Horas Novembro","22111"
"a3i1o000000MLkBAAW","2017-11-30","Célia Pedro","Portal Cliente Angular: Horas Novembro Portal Cliente HTML: Horas Novembro","PIN003857","0012400000Wn20jAAB","Service Provider","011","a3h1o000000EVNzAAO","2380.0","0.0","a2l24000000UA0CAAW","2017-12-04T10:09:35.000Z","","622102"
"a3i1o000000MLkBAAW","2017-11-30","Célia Pedro","Portal Cliente Angular: Horas Novembro Portal Cliente HTML: Horas Novembro","PIN003857","0012400000Wn20jAAB","Service Provider","011","a3h1o000000EVO0AAO","547.4","0.0","a2l24000000U9wWAAS","2017-12-04T10:09:35.000Z","OBSCONT23","243231"
"a3i1o000000MLlsAAG","2017-11-22","Célia Pedro","AP-026684; VINV-02739","PIN003858","0012400001N9BmnAAF","Channel Partner / Vendor","011","a3h1o000000EVPkAAO","0.0","5084.61","a2l24000000U9vrAAC","2017-12-04T10:18:01.000Z","AP-026684; VINV-02739","22114"
"a3i1o000000MLlsAAG","2017-11-22","Célia Pedro","AP-026684; VINV-02739","PIN003858","0012400001N9BmnAAF","Channel Partner / Vendor","011","a3h1o000000EVPlAAO","4133.83","0.0","a2l24000000U9y3AAC","2017-12-04T10:18:01.000Z","","311"
"a3i1o000000MLlsAAG","2017-11-22","Célia Pedro","AP-026684; VINV-02739","PIN003858","0012400001N9BmnAAF","Channel Partner / Vendor","011","a3h1o000000EVPmAAO","950.78","0.0","a2l24000000U9wOAAS","2017-12-04T10:18:01.000Z","CCONT23","2432113"
"a3i1o000000MLnyAAG","2017-11-30","Célia Pedro","AP-027152; VINV-02797","PIN003859","0012400000UfIfbAAF","Channel Partner / Vendor","011","a3h1o000000EVRxAAO","0.0","1880.12","a2l24000000U9vrAAC","2017-12-04T10:28:19.000Z","AP-027152; VINV-02797","22114"
"a3i1o000000MLnyAAG","2017-11-30","Célia Pedro","AP-027152; VINV-02797","PIN003859","0012400000UfIfbAAF","Channel Partner / Vendor","011","a3h1o000000EVRyAAO","1528.55","0.0","a2l24000000U9y3AAC","2017-12-04T10:28:19.000Z","","311"
"a3i1o000000MLnyAAG","2017-11-30","Célia Pedro","AP-027152; VINV-02797","PIN003859","0012400000UfIfbAAF","Channel Partner / Vendor","011","a3h1o000000EVRzAAO","351.57","0.0","a2l24000000U9wOAAS","2017-12-04T10:28:19.000Z","CCONT23","2432113"
"a3i1o000000MLo8AAG","2017-11-15","Célia Pedro","AP-025755; VINV-02688","PIN003860","0012400000YDOUiAAP","Channel Partner / Vendor","011","a3h1o000000EVS7AAO","0.0","1510.51","a2l24000000U9vrAAC","2017-12-04T10:30:16.000Z","AP-025755; VINV-02688","22114"
"a3i1o000000MLo8AAG","2017-11-15","Célia Pedro","AP-025755; VINV-02688","PIN003860","0012400000YDOUiAAP","Channel Partner / Vendor","011","a3h1o000000EVS8AAO","1228.06","0.0","a2l24000000U9y3AAC","2017-12-04T10:30:16.000Z","","311"
"a3i1o000000MLo8AAG","2017-11-15","Célia Pedro","AP-025755; VINV-02688","PIN003860","0012400000YDOUiAAP","Channel Partner / Vendor","011","a3h1o000000EVS9AAO","282.45","0.0","a2l24000000U9wOAAS","2017-12-04T10:30:16.000Z","CCONT23","2432113"
"a3i1o000000MLoIAAW","2017-11-30","Célia Pedro","Regus - 01/01/2018 a 31/01/2018","PIN003861","00124000014JDIQAA4","Service Provider","011","a3h1o000000EVSIAA4","0.0","47.97","a2l24000000U9voAAC","2017-12-04T10:32:43.000Z","Regus - 01/01/2018 a 31/01/2018","22111"
"a3i1o000000MLoIAAW","2017-11-30","Célia Pedro","Regus - 01/01/2018 a 31/01/2018","PIN003861","00124000014JDIQAA4","Service Provider","011","a3h1o000000EVSJAA4","39.0","0.0","a2l24000000U9xpAAC","2017-12-04T10:32:43.000Z","","2811"
"a3i1o000000MLoIAAW","2017-11-30","Célia Pedro","Regus - 01/01/2018 a 31/01/2018","PIN003861","00124000014JDIQAA4","Service Provider","011","a3h1o000000EVSKAA4","8.97","0.0","a2l24000000U9wWAAS","2017-12-04T10:32:43.000Z","OBSCONT23","243231"
"a3i1o000000MLoSAAW","2017-11-30","Célia Pedro","G Suite Basic: Utilização  01/11/2017 - 30/112017","PIN003862","00124000014JDzKAAW","Service Provider","011","a3h1o000000EVSSAA4","0.0","64.0","a2l24000000U9vpAAC","2017-12-04T10:41:50.000Z","G Suite Basic: Utilização 
01/11/2017 - 30/112017","22112"
