"Id","ProductCode","Name"
"01t24000005eYKQAA2","PT15","Juros de Mora"
"01t24000005eYKfAAM","PT13","3º. Aviso ou interpelação"
"01t24000004zAMYAA2","PT11","Seguro de Equipamentos e Dados Electrónicos Proporcional"
"01t24000004zAMiAAM","PT02","Seguro de Equipamentos e Dados Electrónicos"
"01t24000004zAMnAAM","PT02","Seguro de Equipamentos e Dados Electrónicos"
"01t24000004zAMdAAM","PT11","Seguro de Equipamentos e Dados Electrónicos Proporcional"
"01t1o000007Q2vOAAS","PT24","Taxa Step-Up"
"01t1o000007Q2vTAAS","PT25","Juro Contracto de Renting"
"01t1o000007lfOpAAI","PT23","Co-Pagamento"
"01t240000061isJAAQ","PT14","Valores acordados pela antecipação do termo do contrato"
"01t24000005eYKkAAM","PT13","3º. Aviso ou interpelação"
"01t24000005eWnSAAU","PT12","Comissão de cobrança por débito em conta"
"01t24000005eYKpAAM","PT13","3º. Aviso ou interpelação"
"01t240000061isTAAQ","PT14","Valores acordados pela antecipação do termo do contrato"
"01t24000005eWnXAAU","PT12","Comissão de cobrança por débito em conta"
"01t24000005eWncAAE","PT12","Comissão de cobrança por débito em conta"
"01t24000007lP1LAAU","PT22","Prestação de Plano de Pagamentos"
"01t24000006MFRKAA4","PT19","Aluguer Trimestral Equipamento CANDOR RENTING S.A."
"01t24000006MF3uAAG","PT17","Custos de Cessão de Posição Contratual"
"01t24000006w6bpAAA","PT20","Venda de Equipamento Usado"
"01t24000005f9ppAAA","PT14","Valores acordados pela antecipação do termo do contrato"
"01t24000006MF3pAAG","PT17","Custos de Cessão de Posição Contratual"
"01t24000006MFR0AAO","PT18","Aluguer Mensal Equipamento CANDOR RENTING S.A."
"01t24000006MF3zAAG","PT17","Custos de Cessão de Posição Contratual"
"01t24000006MFRPAA4","PT19","Aluguer Trimestral Equipamento CANDOR RENTING S.A."
"01t24000006MFR5AAO","PT18","Aluguer Mensall Equipamento CANDOR RENTING S.A."
"01t24000006MFRAAA4","PT18","Aluguer Mensal Equipamento CANDOR RENTING S.A."
"01t24000006MFRFAA4","PT19","Aluguer Trimestral Equipamento CANDOR RENTING S.A."
"01t24000005fmtoAAA","PT16","Despesas Relacionadas com Alterações ao Contrato"
"01t24000005fmtjAAA","PT16","Despesas Relacionadas com Alterações ao Contrato"
"01t24000005fmteAAA","PT16","Despesas Relacionadas com Alterações ao Contrato"
"01t24000004VcidAAC","PT01","Aluguer Mensal Equipamento CANDOR RENTING S.A."
"01t24000004VcuPAAS","PT11","Seguro de Equipamentos e Dados Electrónicos Proporcional"
"01t24000004VcuUAAS","PT03","Pagamento por Multibanco"
"01t24000004ViRKAA0","PT03","Pagamento por Multibanco"
"01t24000004ViRPAA0","PT08","Aluguer Mensal Proporcional Equipamento CANDOR RENTING S.A."
"01t24000004ViQMAA0","PT10","Aluguer Trimestral Proporcional Equipamento CANDOR RENTING S.A."
"01t24000004ViRUAA0","PT08","Aluguer Mensal Proporcional Equipamento CANDOR RENTING S.A."
"01t24000004ViQRAA0","PT09","Aluguer Trimestral Equipamento CANDOR RENTING S.A."
"01t24000004ViQlAAK","PT06","Custos de Documentação"
"01t24000004ViQCAA0","PT01","Aluguer Mensal Equipamento CANDOR RENTING S.A."
"01t24000004ViQvAAK","PT05","2º. Aviso ou interpelação"
"01t24000004VcujAAC","PT06","Custos de Documentação"
"01t24000004ViQqAAK","PT06","Custos de Documentação"
"01t24000004ViR5AAK","PT04","1.º Aviso ou interpelação"
"01t24000004VcuyAAC","PT09","Aluguer Trimestral Equipamento CANDOR RENTING S.A."
"01t24000004ViRFAA0","PT03","Pagamento por Multibanco"
"01t24000004ViQgAAK","PT07","Custos de Documentação Contrato em Papel"
"01t24000004ViR0AAK","PT05","2º. Aviso ou interpelação"
"01t24000004VcutAAC","PT08","Aluguer Mensal Proporcional Equipamento CANDOR RENTING S.A."
"01t24000004Vcv3AAC","PT10","Aluguer Trimestral Proporcional Equipamento CANDOR RENTING S.A."
"01t24000004VcuZAAS","PT04","1.º Aviso ou interpelação"
"01t24000004ViQ7AAK","PT01","Aluguer Mensal Equipamento CANDOR RENTING S.A."
"01t24000004VcueAAC","PT05","2º. Aviso ou interpelação"
"01t24000004Vcv8AAC","PT02","Seguro de Equipamentos e Dados Electrónicos"
"01t24000004ViQbAAK","PT07","Custos de Documentação Contrato em Papel"
"01t24000004VcuoAAC","PT07","Custos de Documentação Contrato em Papel"
"01t24000004ViQWAA0","PT09","Aluguer Trimestral Equipamento CANDOR RENTING S.A."
"01t24000004ViRAAA0","PT04","1.º Aviso ou interpelação"
"01t24000005eYKaAAM","PT15","Juros de Mora"
"01t24000004ViQHAA0","PT10","Aluguer Trimestral Proporcional Equipamento CANDOR RENTING S.A."
"01t24000006w6c4AAA","PT20","Venda de Equipamento Usado"
"01t24000006w6cYAAQ","PT20","Venda de Equipamento usado"
"01t24000005eYKVAA2","PT15","Juros de Mora"
