"Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c","c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","c2g__Transaction__r.c2g__SalesInvoice__c"
"a3h1o000000cL74AAE","146.41","0.0","a2l24000000UA1eAAG","2018-01-09T15:26:01.000Z","MI Val.Liq + Tx Soc. E.","63511","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL75AAE","0.0","146.41","a2l24000000U9xFAAS","2018-01-09T15:26:01.000Z","-(MI Val.Liq + Tx Soc. E.)","2451","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL76AAE","20328.78","0.0","a2l24000000UA1RAAW","2018-01-09T15:26:01.000Z","MI Val. Iliquid S1 Vencimento","63201","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL77AAE","1708.0","0.0","a2l24000000UA1UAAW","2018-01-09T15:26:01.000Z","MI Val. Iliquid S30 Sub almoço","63204","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL78AAE","847.02","0.0","a2l24000000U9xaAAC","2018-01-09T15:26:01.000Z","MI Val. Iliquid S75","2722203","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL79AAE","7643.13","0.0","a2l24000000U9xYAAS","2018-01-09T15:26:01.000Z","MI Val. Iliquid S76","2722201","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7AAAU","0.0","7661.67","a2l24000000U9w4AAC","2018-01-09T15:26:01.000Z","-(MI TG Valor IRS + S105 +S108 + S109)","2421","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7BAAU","0.0","3487.65","a2l24000000U9xFAAS","2018-01-09T15:26:01.000Z","-(MI TS Taxa Soc. N)","2451","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7CAAU","0.0","1708.83","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7DAAU","0.0","1708.83","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7EAAU","0.0","2868.55","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7FAAU","0.0","3003.42","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7GAAU","0.0","1505.75","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7HAAU","0.0","1864.74","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7IAAU","0.0","1661.97","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7JAAU","0.0","1256.11","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7KAAU","0.0","1819.17","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7LAAU","188.05","0.0","a2l24000000U9yjAAC","2018-01-09T15:26:01.000Z","MI TG F.C.T","415401","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7MAAU","15.23","0.0","a2l24000000UA1gAAG","2018-01-09T15:26:01.000Z","MI TG FGCT","63513","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7NAAU","0.0","203.28","a2l24000000U9xHAAS","2018-01-09T15:26:01.000Z","-(MI TG F.C.T + MI TG FGCT)","248","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7OAAU","201.17","0.0","a2l24000000U9xbAAC","2018-01-09T15:26:01.000Z","(2722203*0,2375)","2722204","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7PAAU","1815.24","0.0","a2l24000000U9xZAAS","2018-01-09T15:26:01.000Z","(2722201*0,2375)","2722202","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7QAAU","5513.77","0.0","a2l24000000UA1fAAG","2018-01-09T15:26:01.000Z","(2722204+2722202+2451)*-1","63512","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7RAAU","0.0","7530.18","a2l24000000U9xFAAS","2018-01-09T15:26:01.000Z","-(MI TS Tx Soc E.)","2451","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7SAAU","0.0","1475.25","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7TAAU","0.0","1787.25","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7UAAU","0.0","1466.43","a2l24000000U9vtAAC","2018-01-09T15:26:01.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cL7VAAU","2748.69","0.0","a2l24000000UA1YAAW","2018-01-09T15:26:01.000Z","","63208","a3i1o000000bvP7AAI","2017-11-21","Célia Pedro","Salários - 2017/011","JNL094115","","","011",""
"a3h1o000000cKHkAAM","146.41","0.0","a2l24000000UA1eAAG","2018-01-08T17:50:08.000Z","MI Val.Liq + Tx Soc. E.","63511","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHlAAM","0.0","146.41","a2l24000000U9xFAAS","2018-01-08T17:50:08.000Z","-(MI Val.Liq + Tx Soc. E.)","2451","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHmAAM","20328.78","0.0","a2l24000000UA1RAAW","2018-01-08T17:50:08.000Z","MI Val. Iliquid S1 Vencimento","63201","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHnAAM","1848.0","0.0","a2l24000000UA1UAAW","2018-01-08T17:50:08.000Z","MI Val. Iliquid S30 Sub almoço","63204","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHoAAM","847.02","0.0","a2l24000000U9xaAAC","2018-01-08T17:50:08.000Z","MI Val. Iliquid S75","2722203","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHpAAM","847.02","0.0","a2l24000000U9xYAAS","2018-01-08T17:50:08.000Z","MI Val. Iliquid S76","2722201","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHqAAM","0.0","4824.0","a2l24000000U9w4AAC","2018-01-08T17:50:08.000Z","-(MI TG Valor IRS + S105 +S108 + S109)","2421","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHrAAM","0.0","2494.52","a2l24000000U9xFAAS","2018-01-08T17:50:08.000Z","-(MI TS Taxa Soc. N)","2451","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHsAAM","0.0","1208.83","a2l24000000U9vtAAC","2018-01-08T17:50:08.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHtAAM","0.0","1208.83","a2l24000000U9vtAAC","2018-01-08T17:50:08.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHuAAM","0.0","1280.83","a2l24000000U9vtAAC","2018-01-08T17:50:08.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
"a3h1o000000cKHvAAM","0.0","2183.65","a2l24000000U9vtAAC","2018-01-08T17:50:08.000Z","-(MTB Transferência ao colaborador)","2312","a3i1o000000bv7NAAQ","2017-12-23","Célia Pedro","Salários - 2017/012","JNL113470","","","012",""
