"Id","NIF__c","Name","BillingStreet","BillingCity","BillingPostalCode","BillingCountryCode"
"001240000104bh5AAA","503857688","MAREGINTER - COMÉRCIO INTERNACIONAL, LDA","RUA ABEL SALAZAR, 39B, ALTO DA FAIA","LISBOA","1600-817","PT"
"0012400000hk9E3AAI","513647414","BFDC - CONSULTORIA E COMUNICAÇÃO, LDA","RUA DO PINHAL, 30, ANDRINOS","LEIRIA","2410-018","PT"
"001240000104ULCAA2","508607078","PMESOFT, LDA","RUA NOSSA SENHORA DAS NECESSIDADES, 8A, ESGUEIRA","AVEIRO","3800-317","PT"
"001240000104iSXAAY","500686947","UTEC - UNIÃO TÉCNICAS DE SOLDADURA, LDA","AVENIDA LEITE DE VASCONCELOS, 3/5","AMADORA","2610-100","PT"
"001240000104UwDAAU","508525799","TOOGAS, LDA","RUA 28 DE JANEIRO, 350 FRAÇÃO 11, EDIFÍCIO CC","VILA NOVA DE GAIA","4400-335","PT"
"001240000104UkEAAU","508480418","ESCRITACOR, LDA","AVENIDA DAS FORÇAS ARMADAS, 5 LOJA B, BAIRRO DA BRAGUINHA","BRAGANÇA","5300-418","PT"
"001240000104bUbAAI","503847860","BROWSER - SERVIÇOS INTERNET, S.A.","NÚCLEO CENTRAL, 307, TAGUSPARK","PORTO SALVO","2740-122","PT"
"001240000104mkqAAA","508805759","RETMARKER, S.A.","PARQUE INDUSTRIAL DE TAVEIRO, LOTE 48","TAVEIRO","3045-508","PT"
"001240000104mHqAAI","509619355","CARTA ABERTA, LDA","RUA NAVEGANTES, 51","PORTO","4000-358","PT"
"001240000104fJaAAI","504551590","ADVANTIS SOLUTIONS - TECNOLOGIAS DE INFORMAÇÃO, LDA","AVENIDA VISCONDE DE VALMOR, 66 1º","LISBOA","1050-242","PT"
"0012400000kQGBHAA4","503766526","MEGASTOCK - INFORMÁTICA, LDA","LARGO DO MOEIRO, 30","PEDROSO","4415-267","PT"
"001240000104n5fAAA","508792134","SERRABYTE - UNIPESSOAL, LDA","BAIRRO VILA ALZIRA, PRÉDIO CABRITOS, LOJA A, R/C - DTº.","SÃO ROMÃO","6270-262","PT"
"0012400000kQFC2AAO","509776981","MORE IT, LDA","RUA DE SANTO ANTÓNIO DO TELHEIRO, 73 SALA D","SÃO MAMEDE DE INFESTA","4465-249","PT"
"0012400000kPuiiAAC","506294463","DOBLOTEC - COMÉRCIO E REPARAÇÃO DE EQUIPAMENTOS DE ESCRITÓRIO, LDA","RUA JOAQUIM TIM TIM SITIMA, 18B, BRANDOA","AMADORA","2650-224","PT"
"0012400000l8u6IAAQ","513546626","DREAM ID - AUDITOR SISTEMAS DE GESTÃO E CONTROLO, LDA","RUA DOUTOR FARIA SAMPAIO, 123","ERMESINDE","4445-671","PT"
"001240000104ex6AAA","509934501","CALLANG, LDA","LARGO 26 DE MARÇO DE 1917, 36 LOJA 9 FRAÇÃO I","GUARDA NOVA","2430-147","PT"
"0012400000l8txPAAQ","507754921","SINAL POSITIVO, LDA","RUA DA LAGE, 422 1º SALA 5","MAIA","4470-320","PT"
"001240000104UKiAAM","503760439","INFOVERVE - INFORMÁTICA, LDA","AVENIDA CAMILO TAVARES MATOS, 510 - 2 SALA D","VALE DE CAMBRA","3730-240","PT"
"001240000104UlMAAU","503438030","ALFREDO & SOUSA - INFORMÁTICA, LDA","AVENIDA FERNÃO DE MAGALHÃES, 1054","PORTO","4350-155","PT"
"001240000104gi5AAA","510187250","INFODINÂMICA - BUSINESS IT SOLUTIONS, LDA","RUA EUGÉNIO ANDRADE, LOTE 12 5º DTO., EDIFÍCIO LIDER","PORTIMÃO","8500-396","PT"
"001240000104e33AAA","509991777","BLUE FORCE, LDA","AVENIDA DA REPÚBLICA, ARMAZÉM C, EDIFÍCIO REPÚBLICA","ALCOITÃO","2645-143","PT"
"0012400000hBBibAAG","509969879","DWSI DIGITAL WORK - SERVIÇOS DE INTERNET, UNIPESSOAL, LDA","AVENIDA DA ALIANÇA POVO MFA, EDIFÍCIO 1 GABINETE 206, PARQUE TECNOLÓGICO DA MUTELA","ALMADA","2804-537","PT"
"0012400000hjMsVAAU","505791277","CTG - SISTEMAS INFORMATICOS, LDA","RUA FRANCISCO RIBEIRO DE CASTRO, 219 R/C, AZUREM","GUIMARÃES","4800-045","PT"
"001240000104fyjAAA","513201475","PULLPRINT SYSTEMS, LDA","RUA DA CARRADIÇA, 16","CARRADIÇA","4730-242","PT"
"001240000104fl6AAA","508307120","MOUNTAIN GLOBAL SERVICES, LDA","AVENIDA DOM JOSÉ I, 6, NOVA OEIRAS","OEIRAS","2780-126","PT"
"001240000104f5LAAQ","509925723","LOGIC WISE, LDA","PRACETA COURELA DO FORNO, LOTE 18 BLOCO B 3º, PEDRENAIS","RAMADA","2620-248","PT"
"001240000104gcHAAQ","508995000","GESFROTA, S.A.","RUA DAS OLAIAS, 78","ZONA INDUSTRIAL DA FIGUEIRA DA FOZ","3090-463","PT"
"0012400000kPuTxAAK","509706282","NCSO, UNIPESSOAL, LDA","AVENIDA MIGUEL BOMBARDA, 42 - 1B","LISBOA","1050-166","PT"
"0012400000hjt3jAAA","505992582","DIGICONIMBRI-EQUIPAMENTOS DE ESCRITÓRIO, UNIPESSOAL, LDA","RUA DE SANTO ANTONIO, LOTE 11","SENHORA DAS DORES","3150-229","PT"
"001240000104na9AAA","508789893","NEXTREGRA, LDA","RUA DA ESTRADA, 915","ABADE DE NEIVA","4750-006","PT"
"001240000104mdmAAA","508822769","EMWARE, LDA","RUA DO CANEDO, 5","PASSOS DO SILGUEIROS","3500-541","PT"
"001240000104gjSAAQ","510185932","TNK CORPORATE, LDA","AVENIDA INFANTE DOM HENRIQUE, 9 1ºA, PARQUE RESIDENCIAL DO ALMIRANTE","SANTO ANTÓNIO DOS CAVALEIROS","2660-449","PT"
"001240000104gedAAA","510137547","RIGORMIND, UNIPESSOAL, LDA","RUA DAS LARANJEIRAS, 42 LOJA B, URBANIZAÇÃO DA QUINTA DE VALVERDE","LEIRIA","2415-773","PT"
"001240000104fu1AAA","509876471","TEORIAPÓDIO - UNIPESSOAL, LDA","RUA MARQUÊS DE TERENA, 102","PONTE DE LIMA","4990-126","PT"
"0012400000hk7HHAAY","502759518","CIBEN - IT AND BUSINESS SOLUTIONS, S.A.","RUA ANTÓNIO GONÇALO SOUSA DIAS, 3A","BENAVENTE","2130-214","PT"
